,augments_0,augments_1,augments_2,companion_content_ID,companion_item_ID,companion_skin_ID,companion_species,gold_left,last_round,level,placement,players_eliminated,puuid,time_eliminated,total_damage_to_players,traits_0_name,traits_0_num_units,traits_0_style,traits_0_tier_current,traits_0_tier_total,traits_1_name,traits_1_num_units,traits_1_style,traits_1_tier_current,traits_1_tier_total,traits_2_name,traits_2_num_units,traits_2_style,traits_2_tier_current,traits_2_tier_total,traits_3_name,traits_3_num_units,traits_3_style,traits_3_tier_current,traits_3_tier_total,traits_4_name,traits_4_num_units,traits_4_style,traits_4_tier_current,traits_4_tier_total,traits_5_name,traits_5_num_units,traits_5_style,traits_5_tier_current,traits_5_tier_total,traits_6_name,traits_6_num_units,traits_6_style,traits_6_tier_current,traits_6_tier_total,traits_7_name,traits_7_num_units,traits_7_style,traits_7_tier_current,traits_7_tier_total,traits_8_name,traits_8_num_units,traits_8_style,traits_8_tier_current,traits_8_tier_total,traits_9_name,traits_9_num_units,traits_9_style,traits_9_tier_current,traits_9_tier_total,traits_10_name,traits_10_num_units,traits_10_style,traits_10_tier_current,traits_10_tier_total,traits_11_name,traits_11_num_units,traits_11_style,traits_11_tier_current,traits_11_tier_total,traits_12_name,traits_12_num_units,traits_12_style,traits_12_tier_current,traits_12_tier_total,units_0_character_id,units_0_itemNames_0,units_0_itemNames_1,units_0_name,units_0_rarity,units_0_tier,units_1_character_id,units_1_itemNames_0,units_1_itemNames_1,units_1_name,units_1_rarity,units_1_tier,units_2_character_id,units_2_name,units_2_rarity,units_2_tier,units_3_character_id,units_3_itemNames_0,units_3_itemNames_1,units_3_name,units_3_rarity,units_3_tier,units_4_character_id,units_4_name,units_4_rarity,units_4_tier,units_5_character_id,units_5_itemNames_0,units_5_itemNames_1,units_5_itemNames_2,units_5_name,units_5_rarity,units_5_tier,units_6_character_id,units_6_itemNames_0,units_6_itemNames_1,units_6_name,units_6_rarity,units_6_tier,units_7_character_id,units_7_name,units_7_rarity,units_7_tier,units_8_character_id,units_8_itemNames_0,units_8_itemNames_1,units_8_itemNames_2,units_8_name,units_8_rarity,units_8_tier,units_0_itemNames_2,units_2_itemNames_0,units_2_itemNames_1,units_2_itemNames_2,units_3_itemNames_2,units_4_itemNames_0,units_4_itemNames_1,units_4_itemNames_2,units_6_itemNames_2,units_7_itemNames_0,traits_13_name,traits_13_num_units,traits_13_style,traits_13_tier_current,traits_13_tier_total,units_7_itemNames_1,units_7_itemNames_2,units_1_itemNames_2,traits_14_name,traits_14_num_units,traits_14_style,traits_14_tier_current,traits_14_tier_total,units_9_character_id,units_9_name,units_9_rarity,units_9_tier,units_5_items_0,units_5_items_1,units_5_items_2,units_6_items_0,units_6_items_1,units_6_items_2,units_7_items_0,units_7_items_1,units_7_items_2,units_3_items_0,units_3_items_1,units_0_items_0,units_1_items_0,units_1_items_1,units_2_items_0,units_2_items_1,units_2_items_2,units_1_items_2,units_4_items_0,units_4_items_1,units_4_items_2,units_0_items_1,units_3_items_2,units_0_items_2,units_8_items_0,units_8_items_1,units_8_items_2,units_9_itemNames_0,units_9_items_0,traits_15_name,traits_15_num_units,traits_15_style,traits_15_tier_current,traits_15_tier_total,traits_16_name,traits_16_num_units,traits_16_style,traits_16_tier_current,traits_16_tier_total,traits_17_name,traits_17_num_units,traits_17_style,traits_17_tier_current,traits_17_tier_total,units_9_itemNames_1,units_9_itemNames_2,units_9_items_1,units_9_items_2,units_10_character_id,units_10_itemNames_0,units_10_itemNames_1,units_10_itemNames_2,units_10_name,units_10_rarity,units_10_tier,units_10_items_0,units_10_items_1,units_10_items_2,partner_group_id
0,TFT8_Augment_UndergroundTheTrait,TFT8_Augment_SonaExile,TFT7_Augment_BandOfThieves1,5897ad9f-4665-4372-8f3e-6c878adb8918,1,1,PetTFTAvatar,35,34,8,2,1,ySMyJy2bUGKO2Gy-vN6xtdc6lwKVcjevHlcppLODKCXR8PnUi1iqMYgegYp355x_lpaz_S2ZswtjKg,2027.031616,164,Set8_Ace,1,1,1,2,Set8_Admin,4,3,2,3,Set8_Aegis,2,1,1,4,Set8_Brawler,4,2,2,4,Set8_Channeler,2,1,1,4,Set8_Deadeye,1,0,0,2,Set8_ExoPrime,1,0,0,2,Set8_Hacker,1,0,0,3,Set8_Heart,3,1,1,3,Set8_Renegade,1,0,0,2,Set8_SpaceCorps,1,0,0,4,Set8_Supers,1,0,0,1,Set8_UndergroundThe,4,2,2,4,TFT8_Blitzcrank,TFT5_Item_ShroudOfStillnessRadiant,TFT_Item_RedBuff,,0,2,TFT8_Vi,TFT8_Item_ADMINEmblemItem,TFT_Item_Shroud,,1,2,TFT8_LeeSin,,1,1,TFT8_Sona,TFT_Item_SeraphsEmbrace,TFT_Item_JeweledGauntlet,,2,2,TFT8_Leblanc,,2,2,TFT8_Samira,TFT4_Item_OrnnInfinityForce,TFT_Item_PowerGauntlet,TFT_Item_LastWhisper,,4,2,TFT8_Sejuani,TFT_Item_RedBuff,TFT_Item_IonicSpark,,4,2,TFT8_Soraka,,4,2,TFT8_Leona,TFT_Item_ThiefsGloves,TFT_Item_RunaansHurricane,TFT_Item_MadredsBloodrazor,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFT6_Augment_PortableForge,TFT8_Augment_BelVethCarry,TFT7_Augment_BandOfThieves1,17a6b1da-073f-4081-86fc-0828c14b0b1d,6001,1,PetPenguKnight,25,33,8,3,1,cgGr_nppzWzO8CpFjqq_o68_uQDfvJpV3mhkqimXn18gzFXQ8xFEKA293Ir_N0tepOjzgqmUhp1mLg,1965.115112,106,Set8_Ace,1,1,1,2,Set8_AnimaSquad,1,0,0,3,Set8_Arsenal,1,3,1,1,Set8_Deadeye,1,0,0,2,Set8_OxForce,1,0,0,4,Set8_Threat,5,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TFT8_Chogath,TFT_Item_IonicSpark,TFT_Item_Redemption,,2,2,TFT8_Rammus,,,,2,2,TFT8_MissFortune,,4,2,TFT8_BelVeth,TFT_Item_HextechGunblade,TFT4_Item_OrnnInfinityForce,,4,2,TFT8_BelVeth,,4,2,TFT8_Zac,,,,,4,2,TFT8_Urgot,TFT_Item_ThiefsGloves,TFT_Item_TitansResolve,,6,1,TFT8_Aphelios,,6,1,,,,,,,,TFT_Item_FrozenHeart,TFT_Item_JeweledGauntlet,TFT_Item_HextechGunblade,TFT_Item_ArchangelsStaff,TFT_Item_InfinityEdge,TFT_Item_ThiefsGloves,TFT_Item_ArchangelsStaff,TFT_Item_Morellonomicon,TFT_Item_MadredsBloodrazor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFT8_Augment_AegisEmblem,TFT8_Augment_SorakaSupport,TFT6_Augment_Distancing,5f5a22be-ecf1-40b5-9caa-5d2a80a5fffa,50002,2,PetChibiLux,1,31,8,5,0,07ntg7WmpJmf3idfzv7dWpODGeKon5-0gW1Yo0GxBs4mZGpzQKnVcet-cMad70eXXYqxi6aWI-YdOQ,1853.217651,106,Set8_Ace,1,1,1,2,Set8_Aegis,4,3,3,4,Set8_Arsenal,1,3,1,1,Set8_Brawler,2,1,1,4,Set8_Corrupted,1,3,1,1,Set8_Deadeye,2,1,1,2,Set8_Mascot,1,0,0,4,Set8_OxForce,2,1,1,4,Set8_Prankster,1,0,0,2,Set8_SpaceCorps,1,0,0,4,Set8_StarGuardian,1,0,0,4,Set8_Threat,2,0,1,1,Set8_UndergroundThe,2,0,0,4,TFT8_Vi,,,,1,1,TFT8_Alistar,TFT_Item_GargoyleStoneplate,TFT_Item_ChainVest,,2,2,TFT8_Ekko,,4,1,TFT8_Samira,TFT_Item_LastWhisper,TFT_Item_HextechGunblade,,4,2,TFT8_Sejuani,,4,1,TFT8_Urgot,,,,,6,1,TFT8_Aphelios,TFT_Item_HextechGunblade,TFT_Item_GuinsoosRageblade,,6,1,TFT8_Fiddlesticks,,6,1,,,,,,,,,,,,,TFT8_Item_AegisEmblemItem,TFT_Item_Redemption,TFT_Item_FrozenHeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TFT8_Augment_AegisEmblem,TFT8_Augment_AurelionSolImpact,TFT6_Augment_ItemGrabBag1,031992ec-b3db-4acf-b79d-f55e11aeb696,42034,34,PetDuckbill,0,27,7,8,0,pdKwFa0b7CQ_FcteDuepuZUP6bZxHpdg80tHrgeyoZFe0YNa6eSSOqspD-uukzweKPs2SE2rAfMyow,1609.905762,41,Set8_Aegis,4,3,3,4,Set8_Brawler,2,1,1,4,Set8_Mascot,1,0,0,4,Set8_OxForce,1,0,0,4,Set8_Prankster,1,0,0,2,Set8_SpaceCorps,1,0,0,4,Set8_StarGuardian,1,0,0,4,Set8_Threat,3,0,1,1,Set8_UndergroundThe,1,0,0,4,,,,,,,,,,,,,,,,,,,,,TFT8_Vi,,,,1,2,TFT8_Alistar,,,,2,2,TFT8_BelVeth,,4,1,TFT8_Ekko,,,,4,2,TFT8_AurelionSol,,4,2,TFT8_Zac,TFT_Item_RedBuff,TFT8_Item_AegisEmblemItem,TFT_Item_Redemption,,4,2,TFT8_Sejuani,,,,4,1,,,,,,,,,,,,,TFT_Item_HextechGunblade,TFT_Item_InfinityEdge,,,TFT_Item_HextechGunblade,TFT_Item_SpearOfShojin,TFT_Item_HextechGunblade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TFT8_Augment_BrawlerEmblem,TFT8_Augment_JaxASCarry,TFT6_Augment_SecondWind1,0d4a1a31-e739-4a79-9970-5e0ad29ac147,17,17,PetTFTAvatar,1,28,7,6,1,vgevJaDJfePpLzND_mpay9KbLTCZJSlnO6Obj7ovpx1uUTjdIxrOi7eUEK5cLUJh9buu-obosWnLpA,1692.449097,70,Set8_Admin,2,1,1,3,Set8_Aegis,1,0,0,4,Set8_AnimaSquad,1,0,0,3,Set8_Brawler,7,3,3,4,Set8_Defender,1,0,0,3,Set8_ExoPrime,1,0,0,2,Set8_Heart,2,1,1,3,Set8_SpaceCorps,1,0,0,4,Set8_Supers,1,0,0,1,Set8_UndergroundThe,1,0,0,4,,,,,,,,,,,,,,,,TFT8_Blitzcrank,,,,0,2,TFT8_Renekton,,,,0,2,TFT8_Vi,,1,2,TFT8_LeeSin,,,,1,2,TFT8_Riven,,2,2,TFT8_Jax,TFT_Item_RapidFireCannon,TFT_Item_MadredsBloodrazor,TFT_Item_HextechGunblade,,2,2,TFT8_Soraka,TFT8_Item_BrawlerEmblemItem,TFT_Item_MadredsBloodrazor,,4,1,,,,,,,,,,,,,,,,,TFT_Item_DragonsClaw,TFT_Item_Redemption,,TFT_Item_LastWhisper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TFT7_Augment_ClutteredMind,TFT8_Augment_MissFortuneSupport,TFT8_Augment_AnimaSquadTrait,17a6b1da-073f-4081-86fc-0828c14b0b1d,6001,1,PetPenguKnight,0,34,9,1,4,SOsgycnDO7Xlw9V-s-U8SXmp-kFkxER4dlKTumvBDO-ADf8ECdcr8uCADCFhoARa9_H2c2ricWZWzg,2027.031616,208,Set8_Ace,1,1,1,2,Set8_Aegis,1,0,0,4,Set8_AnimaSquad,7,4,3,3,Set8_Brawler,1,0,0,4,Set8_Corrupted,1,3,1,1,Set8_Defender,1,0,0,3,Set8_Duelist,1,0,0,4,Set8_Mascot,1,0,0,4,Set8_Prankster,2,1,1,2,Set8_Recon,1,0,0,3,Set8_Renegade,1,0,0,2,Set8_StarGuardian,1,0,0,4,Set8_Threat,1,0,1,1,TFT8_Sylas,,,,0,2,TFT8_Nasus,,,,0,2,TFT8_Jinx,,1,2,TFT8_Vayne,,,,2,2,TFT8_Riven,,2,3,TFT8_MissFortune,TFT_Item_JeweledGauntlet,TFT_Item_SpearOfShojin,TFT_Item_HextechGunblade,,4,2,TFT8_MissFortune,TFT_Item_JeweledGauntlet,,,4,2,TFT8_Ekko,,4,2,TFT8_Fiddlesticks,TFT_Item_Shroud,,,,6,2,,,,,,TFT_Item_TitansResolve,TFT_Item_RedBuff,TFT_Item_Redemption,,TFT_Item_IonicSpark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TFT8_Augment_GenAEEmblem,TFT8_Augment_RenegadePartners,TFT7_Augment_BigFriend,af514c99-5ab1-47eb-bcce-b3f1b87ec33a,49002,2,PetChibiAhri,14,27,7,7,0,WC5ZRj69XrsIYLjogU-Su4KiL_d3hCs4XKqbdPxqd9QMkbmaO7HddR5KEwsqSNfedWw2a3xUNFG45A,1629.184326,53,Set8_AnimaSquad,1,0,0,3,Set8_Channeler,1,0,0,4,Set8_Defender,1,0,0,3,Set8_GenAE,5,3,2,2,Set8_Hacker,1,0,0,3,Set8_Heart,1,0,0,3,Set8_OxForce,3,1,1,4,Set8_Prankster,1,0,0,2,Set8_Renegade,3,3,1,2,,,,,,,,,,,,,,,,,,,,,TFT8_Poppy,TFT_Item_WarmogsArmor,TFT8_Item_Warmogs_GenAE,,0,3,TFT8_Sylas,TFT8_Item_GenAEEmblemItem,,,0,2,TFT8_Talon,,0,3,TFT8_Lulu,,,,0,2,TFT8_Annie,,1,2,TFT8_Zoe,,,,,2,1,TFT8_Viego,TFT_Item_MadredsBloodrazor,TFT_Item_HextechGunblade,,4,1,,,,,,,,,,,,TFT8_Item_HandOfJustice_GenAE,TFT_Item_JeweledGauntlet,TFT_Item_UnstableConcoction,TFT_Item_TitansResolve,,,,,TFT_Item_JeweledGauntlet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,TFT6_Augment_MetabolicAccelerator,TFT8_Augment_SejuaniCarry,TFT6_Augment_CelestialBlessing1,9f4ea728-5890-4ffe-a01d-07662833b3e0,15009,9,PetSennaBunny,1,31,8,4,0,WYxg9a4A1BhrStvR_INXkK0cb8yPq_R0CqYRHHZWlNKPAw5o42ElY_BNJ9WCzCRAviD71CjBfz4uvA,1845.32605,47,Set8_Ace,1,1,1,2,Set8_Brawler,2,1,1,4,Set8_Deadeye,1,0,0,2,Set8_Duelist,2,1,1,4,Set8_GenAE,1,0,0,2,Set8_Hacker,2,1,1,3,Set8_Prankster,1,0,0,2,Set8_Recon,1,0,0,3,Set8_SpaceCorps,7,3,3,4,,,,,,,,,,,,,,,,,,,,,TFT8_Ashe,,,,0,2,TFT8_Renekton,,,,0,2,TFT8_Yasuo,,1,2,TFT8_Zoe,,,,2,1,TFT8_Senna,,2,2,TFT8_Zed,TFT_Item_GuardianAngel,,,,4,2,TFT8_Sejuani,TFT_Item_RedBuff,TFT_Item_WarmogsArmor,,4,1,TFT8_Mordekaiser,,6,1,,,,,,,,,,,,,TFT_Item_StatikkShiv,TFT_Item_GuinsoosRageblade,TFT_Item_HextechGunblade,TFT_Item_IonicSpark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,TFT8_Augment_EzrealCarry,TFT8_Augment_UndergroundTheTrait,TFT6_Augment_CelestialBlessing2,5cded7fd-bf31-406c-80be-77bd8b20e45b,15031,31,PetSennaBunny,5,21,6,8,0,W0PW9g2NHL4Oyn9M9-5dlebKpWbL97e6H_8PGkP_JShpR0RiLDx0k3IhRNOyOkFt2_DsWYq-Fz6wzQ,1266.370483,4,Set8_Aegis,2,1,1,4,Set8_AnimaSquad,1,0,0,3,Set8_Brawler,1,0,0,4,Set8_Channeler,1,0,0,4,Set8_Duelist,1,0,0,4,Set8_Heart,1,0,0,3,Set8_Mascot,1,0,0,4,Set8_OxForce,1,0,0,4,Set8_Recon,3,2,2,3,Set8_StarGuardian,1,0,0,4,Set8_UndergroundThe,4,2,2,4,,,,,,,,,,,TFT8_Vi,TFT_Item_DragonsClaw,TFT_Item_SeraphsEmbrace,,1,3,TFT8_Ezreal,TFT_Item_HextechGunblade,TFT_Item_JeweledGauntlet,,1,2,TFT8_Vayne,,2,2,TFT8_Sona,,,,2,2,TFT8_Alistar,,2,1,TFT8_Kaisa,,,,,2,2,,,,,,,,,,,,,,,,,,TFT_Item_PowerGauntlet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,TFT8_Augment_CamilleSupport,TFT6_Augment_TomeOfTraits1,TFT6_Augment_Diversify2,a4a35782-fbae-45ee-bc0d-90c26269d1a9,27018,18,PetChoncc,1,28,7,6,0,oxhpz_UvqSF6B-QIOs_R1ab8vGyrz30O-6udTuZmhczpk1VaBDP5Lu-OQczZ_Ax8RoE3hj1KZ6Gbug,1699.920654,41,Set8_Admin,6,4,3,3,Set8_Brawler,2,1,1,4,Set8_Channeler,2,1,1,4,Set8_Civilian,1,1,1,3,Set8_GenAE,2,0,0,2,Set8_Hacker,2,1,1,3,Set8_Heart,1,0,0,3,Set8_OxForce,1,0,0,4,Set8_Prankster,1,0,0,2,Set8_Renegade,1,0,0,2,Set8_SpaceCorps,1,0,0,4,,,,,,,,,,,TFT8_Blitzcrank,TFT8_Item_CivilianEmblemItem,,,0,2,TFT8_Annie,TFT8_Item_ADMINEmblemItem,,,1,2,TFT8_Camille,,1,2,TFT8_Zoe,TFT8_Item_ADMINEmblemItem,,,2,2,TFT8_Leblanc,,2,2,TFT8_Sejuani,TFT_Item_FrozenHeart,,,,4,2,TFT8_Soraka,,,,4,1,,,,,,,,,,,,,,,,,TFT_Item_MadredsBloodrazor,TFT_Item_JeweledGauntlet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
