augments_0,augments_1,augments_2,companion_content_ID,companion_item_ID,companion_skin_ID,companion_species,gold_left,last_round,level,placement,players_eliminated,puuid,time_eliminated,total_damage_to_players,traits_0_name,traits_0_num_units,traits_0_style,traits_0_tier_current,traits_0_tier_total,traits_1_name,traits_1_num_units,traits_1_style,traits_1_tier_current,traits_1_tier_total,traits_2_name,traits_2_num_units,traits_2_style,traits_2_tier_current,traits_2_tier_total,traits_3_name,traits_3_num_units,traits_3_style,traits_3_tier_current,traits_3_tier_total,traits_4_name,traits_4_num_units,traits_4_style,traits_4_tier_current,traits_4_tier_total,traits_5_name,traits_5_num_units,traits_5_style,traits_5_tier_current,traits_5_tier_total,traits_6_name,traits_6_num_units,traits_6_style,traits_6_tier_current,traits_6_tier_total,traits_7_name,traits_7_num_units,traits_7_style,traits_7_tier_current,traits_7_tier_total,traits_8_name,traits_8_num_units,traits_8_style,traits_8_tier_current,traits_8_tier_total,traits_9_name,traits_9_num_units,traits_9_style,traits_9_tier_current,traits_9_tier_total,traits_10_name,traits_10_num_units,traits_10_style,traits_10_tier_current,traits_10_tier_total,units_0_character_id,units_0_name,units_0_rarity,units_0_tier,units_1_character_id,units_1_itemNames_0,units_1_name,units_1_rarity,units_1_tier,units_2_character_id,units_2_name,units_2_rarity,units_2_tier,units_3_character_id,units_3_name,units_3_rarity,units_3_tier,units_4_character_id,units_4_itemNames_0,units_4_itemNames_1,units_4_name,units_4_rarity,units_4_tier,units_5_character_id,units_5_itemNames_0,units_5_itemNames_1,units_5_name,units_5_rarity,units_5_tier,units_6_character_id,units_6_itemNames_0,units_6_itemNames_1,units_6_name,units_6_rarity,units_6_tier,units_7_character_id,units_7_itemNames_0,units_7_itemNames_1,units_7_itemNames_2,units_7_name,units_7_rarity,units_7_tier,units_8_character_id,units_8_name,units_8_rarity,units_8_tier,traits_11_name,traits_11_num_units,traits_11_style,traits_11_tier_current,traits_11_tier_total,traits_12_name,traits_12_num_units,traits_12_style,traits_12_tier_current,traits_12_tier_total,units_2_itemNames_0,units_2_itemNames_1,units_2_itemNames_2,units_5_itemNames_2,units_0_itemNames_0,units_3_itemNames_0,units_3_itemNames_1,units_3_itemNames_2,units_4_itemNames_2,units_6_itemNames_2,units_0_itemNames_1,units_0_itemNames_2,units_1_itemNames_1,units_1_itemNames_2,units_8_itemNames_0,units_8_itemNames_1,units_8_itemNames_2,traits_13_name,traits_13_num_units,traits_13_style,traits_13_tier_current,traits_13_tier_total,traits_14_name,traits_14_num_units,traits_14_style,traits_14_tier_current,traits_14_tier_total,traits_15_name,traits_15_num_units,traits_15_style,traits_15_tier_current,traits_15_tier_total,traits_16_name,traits_16_num_units,traits_16_style,traits_16_tier_current,traits_16_tier_total,units_9_character_id,units_9_itemNames_0,units_9_itemNames_1,units_9_itemNames_2,units_9_name,units_9_rarity,units_9_tier,units_9_items_0,units_9_items_1,units_9_items_2,traits_17_name,traits_17_num_units,traits_17_style,traits_17_tier_current,traits_17_tier_total,units_10_character_id,units_10_itemNames_0,units_10_itemNames_1,units_10_itemNames_2,units_10_name,units_10_rarity,units_10_tier,units_10_items_0,units_10_items_1,units_10_items_2,traits_18_name,traits_18_num_units,traits_18_style,traits_18_tier_current,traits_18_tier_total
TFT6_Augment_SecondWind1,TFT8_Augment_CamilleSupport,TFT6_Augment_Battlemage2,fab64a15-f7d3-4313-9f7c-a888173f3e4e,31018,18,PetNimblefoot,13,38,9,2,2,DEbaPlFrC4zO82TEpi3t7y2hNHtmK-arqELEr9xFg2wAGdAgXDDKZDKErezcIlptkBqsPqYa4FdREg,2222.90869140625,187,Set8_Admin,2,1,1,3,Set8_Aegis,2,1,1,4,Set8_Channeler,2,1,1,4,Set8_GenAE,1,0,0,2,Set8_Hacker,1,0,0,3,Set8_Mascot,2,1,1,4,Set8_OxForce,4,2,2,4,Set8_Prankster,1,0,0,2,Set8_Renegade,3,3,1,2,Set8_StarGuardian,1,0,0,4,Set8_Threat,2,0,1,1,TFT8_Talon,,0,2,TFT8_Annie,TFT8_Item_MascotEmblemItem,,1,2,TFT8_Camille,,1,2,TFT8_Alistar,,2,2,TFT8_Leblanc,TFT_Item_SpearOfShojin,TFT_Item_StatikkShiv,,2,2,TFT8_BelVeth,TFT_Item_LastWhisper,TFT_Item_Deathblade,,4,2,TFT8_Ekko,TFT_Item_SparringGloves,TFT_Item_Shroud,,4,2,TFT8_Viego,TFT_Item_HextechGunblade,TFT_Item_JeweledGauntlet,TFT_Item_IonicSpark,,4,2,TFT8_Urgot,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFT6_Augment_TinyTitans,TFT8_Augment_YasuoSupport,TFT6_Augment_ThrillOfTheHunt2,00938dc5-9e9b-48c2-8099-6d6a916102fd,5006,6,PetMiniGolem,7,31,8,4,0,OjsqAVv82-EgbyBKCGvxEYJXzj2rIwZNSgedH0tGDsmPuhrNtVycePqf-NXuMFZyEyTftIk6mZPA5w,1848.0753173828125,61,Set8_Aegis,1,0,0,4,Set8_AnimaSquad,1,0,0,3,Set8_Corrupted,1,3,1,1,Set8_Duelist,4,2,2,4,Set8_GenAE,1,0,0,2,Set8_Hacker,2,1,1,3,Set8_Mascot,1,0,0,4,Set8_OxForce,1,0,0,4,Set8_Prankster,1,0,0,2,Set8_Recon,1,0,0,3,Set8_SpaceCorps,2,0,0,4,TFT8_Yasuo,,1,2,TFT8_Vayne,,,2,2,TFT8_Nilah,,2,2,TFT8_Alistar,,2,2,TFT8_Zoe,,,,2,2,TFT8_Zed,TFT_Item_LastWhisper,TFT_Item_GuardianAngel,,4,2,TFT8_Urgot,TFT_Item_SparringGloves,,,6,1,TFT8_Fiddlesticks,TFT_Item_TitanicHydra,,,,6,1,,,,,Set8_StarGuardian,1,0,0,4,Set8_Threat,2,0,1,1,TFT_Item_FrozenHeart,TFT_Item_DragonsClaw,TFT_Item_WarmogsArmor,TFT_Item_Deathblade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFT6_Augment_ItemGrabBag1,TFT8_Augment_JinxSupport,TFT6_Augment_JeweledLotus,a3e01c68-b3b2-40f1-b4e6-f40a9d6649c5,3040,40,PetGrumpyLion,4,34,8,3,1,jgpLaQ_pq7dnciSw_WhHatWg6mPP9lon0wbl0_sAOtgzHsrbQZHiB9fZV5077uM-QQH9O19OKvqOwA,2021.4681396484375,137,Set8_Ace,1,1,1,2,Set8_Aegis,1,0,0,4,Set8_AnimaSquad,5,3,2,3,Set8_Brawler,2,1,1,4,Set8_Defender,1,0,0,3,Set8_Duelist,1,0,0,4,Set8_Mascot,1,0,0,4,Set8_Prankster,2,1,1,2,Set8_Recon,1,0,0,3,Set8_SpaceCorps,1,0,0,4,Set8_StarGuardian,1,0,0,4,TFT8_Nasus,,0,2,TFT8_Jinx,,,1,2,TFT8_Vayne,,2,2,TFT8_Riven,,2,2,TFT8_MissFortune,TFT_Item_SpearOfShojin,TFT_Item_MadredsBloodrazor,,4,2,TFT8_Ekko,,,,4,2,TFT8_Sejuani,TFT_Item_FrozenHeart,,,4,2,TFT8_Urgot,TFT_Item_ZekesHerald,,,,6,1,,,,,Set8_Threat,1,0,1,1,,,,,,,,,,TFT_Item_Shroud,TFT_Item_Redemption,TFT_Item_IonicSpark,TFT_Item_RedBuff,TFT_Item_SpearOfShojin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFT7_Augment_PandorasBench,TFT8_Augment_FioraSupport,TFT8_Augment_OxForceEmblem,d07d0b76-cd0d-4517-b4af-f5c3d8140b8b,2003,3,PetGriffin,1,31,8,6,1,rmOXPE23Zt8SFLskHgIJyZq3xLmTeC0vGnk6ZWG-sZEuk0CD621ZmuXyIPOnspgFeZ_8WrzXtcQ6Vw,1848.173583984375,81,Set8_Ace,1,1,1,2,Set8_Aegis,2,1,1,4,Set8_Brawler,1,0,0,4,Set8_Deadeye,2,1,1,2,Set8_Duelist,1,0,0,4,Set8_Mascot,1,0,0,4,Set8_OxForce,4,2,2,4,Set8_Prankster,1,0,0,2,Set8_Renegade,1,0,0,2,Set8_SpaceCorps,2,0,0,4,Set8_StarGuardian,1,0,0,4,TFT8_Fiora,,1,2,TFT8_Alistar,,,2,2,TFT8_Senna,,2,1,TFT8_Ekko,,4,2,TFT8_Viego,TFT_Item_Bloodthirster,TFT_Item_TearOfTheGoddess,,4,2,TFT8_Samira,TFT_Item_LastWhisper,TFT_Item_MadredsBloodrazor,,4,2,TFT8_Sejuani,TFT_Item_RedBuff,TFT_Item_GargoyleStoneplate,,4,2,TFT8_Urgot,,,,,6,1,,,,,Set8_Threat,1,0,1,1,Set8_UndergroundThe,1,0,0,4,,,,TFT8_Item_OxForceEmblemItem,,TFT_Item_Redemption,,,,TFT_Item_DragonsClaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFT7_Augment_BandOfThieves1,TFT8_Augment_CamilleSupport,TFT6_Augment_JeweledLotus,508718bb-d4ce-4b9d-a3fd-bcf170dfd523,55016,16,PetKoala,1,38,8,1,2,t5lnvjlGvNBtbqxkMe_6pWSuSwy0_Wfnikdx802h1dZyKdZql-_H08g4d2TIPG3ZKJAlWoZd4b9PQA,2223.55517578125,187,Set8_Admin,4,3,2,3,Set8_Brawler,2,1,1,4,Set8_Channeler,2,1,1,4,Set8_Corrupted,1,3,1,1,Set8_GenAE,1,0,0,2,Set8_Hacker,2,1,1,3,Set8_Heart,2,1,1,3,Set8_Prankster,1,0,0,2,Set8_Renegade,1,0,0,2,Set8_SpaceCorps,1,0,0,4,Set8_Threat,1,0,1,1,TFT8_Blitzcrank,,0,2,TFT8_Camille,,,1,2,TFT8_Sona,,2,2,TFT8_Zoe,,2,2,TFT8_Leblanc,TFT_Item_SeraphsEmbrace,TFT_Item_JeweledGauntlet,,2,2,TFT8_Sejuani,TFT_Item_FrozenHeart,TFT_Item_WarmogsArmor,,4,2,TFT8_Soraka,TFT_Item_ThiefsGloves,TFT_Item_StatikkShiv,,4,1,TFT8_Fiddlesticks,TFT_Item_RedBuff,,,,6,1,,,,,Set8_UndergroundThe,1,0,0,4,,,,,,TFT_Item_PowerGauntlet,,,,TFT_Item_TitanicHydra,,,,TFT_Item_UnstableConcoction,TFT_Item_RabadonsDeathcap,TFT_Item_TitanicHydra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFT6_Augment_TinyTitans,TFT8_Augment_SivirSupport,TFT6_Augment_PortableForge,8c27f67c-90b3-4355-9e90-6e92325c6027,9009,9,PetSpiritFox,1,31,8,7,0,b81WbMwtmi0QgiazQWy0yZN5sIhDDvACamK3pTKLl6Y07RTh8sQr1DcCMTgxNKPDOaJJxhu5c73iXA,1849.569091796875,60,Set8_Ace,1,1,1,2,Set8_Aegis,2,1,1,4,Set8_Arsenal,1,3,1,1,Set8_Brawler,1,0,0,4,Set8_Civilian,1,1,1,3,Set8_Corrupted,1,3,1,1,Set8_Deadeye,4,3,2,2,Set8_Mascot,1,0,0,4,Set8_OxForce,2,1,1,4,Set8_SpaceCorps,1,0,0,4,Set8_Threat,2,0,1,1,TFT8_Sivir,,1,2,TFT8_Vi,,,1,2,TFT8_Alistar,,2,2,TFT8_Senna,,2,1,TFT8_Samira,TFT4_Item_OrnnInfinityForce,TFT_Item_LastWhisper,,4,2,TFT8_Zac,TFT_Item_RedBuff,TFT_Item_Redemption,,4,2,TFT8_Aphelios,TFT_Item_GuinsoosRageblade,TFT_Item_Bloodthirster,,6,1,TFT8_Fiddlesticks,,,,,6,1,,,,,Set8_UndergroundThe,2,0,0,4,,,,,,,,,,TFT_Item_Zephyr,,,,TFT_Item_HextechGunblade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFT6_Augment_Distancing,TFT8_Augment_RellCarry,TFT6_Augment_PortableForge,d6593334-1e30-4eb1-907c-f6427139be4d,18,18,PetTFTAvatar,0,27,8,8,0,mhwnIT0vFTSw5HQXgo0HeBMz3OI55PcShrrQs6ZdCikMwmmGaO67k5NocqmYLw1blYCQBU2oZnZuqw,1615.71484375,70,Set8_Admin,1,0,0,3,Set8_Aegis,2,1,1,4,Set8_Channeler,2,1,1,4,Set8_Defender,1,0,0,3,Set8_GenAE,3,1,1,2,Set8_Heart,2,1,1,3,Set8_Mascot,2,1,1,4,Set8_OxForce,2,1,1,4,Set8_Prankster,1,0,0,2,Set8_StarGuardian,3,1,1,4,,,,,,TFT8_Lulu,,0,1,TFT8_Annie,,,1,2,TFT8_Rell,,1,1,TFT8_Alistar,,2,1,TFT8_Ekko,TFT4_Item_OrnnAnimaVisage,TFT_Item_RedBuff,,4,2,TFT8_Taliyah,TFT_Item_JeweledGauntlet,TFT_Item_SpearOfShojin,,4,2,TFT8_Soraka,TFT_Item_JeweledGauntlet,TFT_Item_TitansResolve,,4,2,TFT8_Nunu,TFT_Item_IonicSpark,TFT8_Item_Sunfire_GenAE,,,6,1,,,,,,,,,,,,,,,,,,TFT_Item_HextechGunblade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFT6_Augment_TriForce1,TFT8_Augment_VayneSupport,TFT6_Augment_ComponentGrabBag,eabd6fec-dd29-4fc2-a70b-92b050bffb35,50001,1,PetChibiLux,1,31,8,5,0,3Jm4HjMXuzaERxPmw64vp9Ic8Ig9NNTH3H8oeuM3K4Fx28_HCnStp0hFLqspIWEYy6877icWCVijAw,1851.0113525390625,63,Set8_AnimaSquad,1,0,0,3,Set8_Duelist,2,1,1,4,Set8_Recon,4,3,3,3,Set8_SpaceCorps,1,0,0,4,Set8_StarGuardian,2,0,0,4,Set8_Threat,3,0,1,1,Set8_UndergroundThe,1,0,0,4,,,,,,,,,,,,,,,,,,,,,TFT8_Ashe,,0,2,TFT8_Ezreal,,,1,2,TFT8_Vayne,,2,3,TFT8_Nilah,,2,2,TFT8_Chogath,,,,2,2,TFT8_Kaisa,TFT_Item_HextechGunblade,TFT_Item_StatikkShiv,,2,2,TFT8_BelVeth,,,,4,1,TFT8_Zac,TFT_Item_TitanicHydra,TFT_Item_ChainVest,,,4,2,,,,,,,,,,,,,,,TFT_Item_GuinsoosRageblade,TFT_Item_PowerGauntlet,TFT_Item_MadredsBloodrazor,TFT_Item_GuardianAngel,,TFT_Item_Redemption,TFT_Item_FrozenHeart,TFT_Item_WarmogsArmor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFT8_Augment_GangplankSupport,TFT8_Augment_DuelistTrait,TFT6_Augment_JeweledLotus,00938dc5-9e9b-48c2-8099-6d6a916102fd,5006,6,PetMiniGolem,2,26,8,8,0,OjsqAVv82-EgbyBKCGvxEYJXzj2rIwZNSgedH0tGDsmPuhrNtVycePqf-NXuMFZyEyTftIk6mZPA5w,1513.52490234375,16,Set8_AnimaSquad,1,0,0,3,Set8_Brawler,1,0,0,4,Set8_Duelist,6,3,3,4,Set8_GenAE,1,0,0,2,Set8_Hacker,2,1,1,3,Set8_Prankster,1,0,0,2,Set8_Recon,1,0,0,3,Set8_SpaceCorps,3,1,1,4,Set8_StarGuardian,1,0,0,4,Set8_Supers,1,0,0,1,Set8_Threat,1,0,1,1,TFT8_Gangplank,,0,2,TFT8_Yasuo,,,1,2,TFT8_Vayne,,2,2,TFT8_Nilah,,2,2,TFT8_Zoe,,,,2,2,TFT8_Rammus,,,,2,2,TFT8_Zed,TFT_Item_RecurveBow,TFT_Item_LastWhisper,,4,1,TFT8_Sejuani,,,,,4,1,,,,,,,,,,,,,,,TFT_Item_RunaansHurricane,TFT_Item_HextechGunblade,TFT_Item_LastWhisper,,,TFT_Item_LocketOfTheIronSolari,TFT_Item_Redemption,,,TFT_Item_HextechGunblade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFT8_Augment_LuxCarry,TFT8_Augment_ChannelerTrait,TFT7_Augment_AxiomArc2,eabd6fec-dd29-4fc2-a70b-92b050bffb35,50001,1,PetChibiLux,2,44,9,2,0,jDcHhdaj-0eou7Vxdxza2TaPnDLyEk_0fpVPNZHGbUcureSxVBjFkrcmKQsLDp1kVyWLagC62Y0oFg,2576.63720703125,194,Set8_Aegis,2,1,1,4,Set8_Channeler,4,2,2,4,Set8_Corrupted,1,3,1,1,Set8_GenAE,4,1,1,2,Set8_Hacker,1,0,0,3,Set8_Heart,2,1,1,3,Set8_Mascot,2,1,1,4,Set8_OxForce,3,1,1,4,Set8_Prankster,2,1,1,2,Set8_StarGuardian,3,1,1,4,Set8_Threat,1,0,1,1,TFT8_Lux,,0,3,TFT8_Annie,TFT_Item_ThiefsGloves,,1,2,TFT8_Sona,,2,2,TFT8_Alistar,,2,1,TFT8_Zoe,TFT8_Item_OxForceEmblemItem,,,2,2,TFT8_Ekko,TFT_Item_ThiefsGloves,TFT_Item_ArchangelsStaff,,4,2,TFT8_Nunu,TFT_Item_Morellonomicon,TFT_Item_MadredsBloodrazor,,6,2,TFT8_Syndra,TFT_Item_Quicksilver,TFT_Item_RecurveBow,TFT8_Item_HandOfJustice_GenAE,,6,2,TFT8_Fiddlesticks,,6,2,Set8_UndergroundThe,1,0,0,4,,,,,,,,,TFT_Item_Morellonomicon,TFT_Item_JeweledGauntlet,,,,,TFT_Item_Bloodthirster,TFT_Item_SeraphsEmbrace,TFT_Item_SpearOfShojin,TFT_Item_WarmogsArmor,TFT_Item_TitanicHydra,TFT8_Item_GenAEEmblemItem,TFT_Item_IonicSpark,TFT_Item_JeweledGauntlet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
